scenario_id,mis_spec,axisA,axisB,rho_meas,power_baseline,sign_error_baseline,rmse_baseline,power_timeupdated,sign_error_timeupdated,rmse_timeupdated,delta_power_timeupdated_minus_baseline,delta_sign_error_timeupdated_minus_baseline,delta_rmse_baseline_minus_timeupdated
S01,0,flat,none,0.4,0.45,0.045,0.0827981962077386,0.19,0.095,0.109915097638983,-0.26,0.05,-0.0271169014312444
S01,1,flat,none,0.4,0.315,0.065,0.102603772842941,0.18,0.09,0.109535041756075,-0.135,0.025,-0.00693126891313399
S02,0,flat,none,0.7,0.38,0.04,0.0855285130401781,0.185,0.105,0.113121041891929,-0.195,0.065,-0.0275925288517509
S02,1,flat,none,0.7,0.235,0.07,0.106586671106414,0.18,0.11,0.112635437556791,-0.055,0.04,-0.006048766450377
S03,0,flat,none,1,0.405,0.045,0.0887750648398215,0.205,0.14,0.116370269911449,-0.2,0.095,-0.0275952050716275
S03,1,flat,none,1,0.315,0.09,0.107055932894911,0.195,0.14,0.11584795909405,-0.12,0.05,-0.00879202619913901
S04,0,flat,threshold_jump,0.4,0.375,0.065,0.0912109299946608,0.255,0.095,0.110495515997538,-0.12,0.03,-0.0192845860028772
S04,1,flat,threshold_jump,0.4,0.23,0.11,0.114279380772502,0.265,0.095,0.1103551294669,0.035,-0.015,0.00392425130560201
S05,0,flat,threshold_jump,0.7,0.33,0.065,0.0947221099552605,0.195,0.125,0.113871578107482,-0.135,0.06,-0.0191494681522215
S05,1,flat,threshold_jump,0.7,0.23,0.145,0.117640077220468,0.195,0.125,0.110950071521095,-0.035,-0.02,0.006690005699373
S06,0,flat,threshold_jump,1,0.355,0.07,0.0922220429422625,0.18,0.15,0.122320309861199,-0.175,0.08,-0.0300982669189365
S06,1,flat,threshold_jump,1,0.215,0.12,0.114197467059321,0.2,0.14,0.117599275601519,-0.015,0.02,-0.003401808542198
S07,0,increasing,none,0.4,0.45,0.05,0.087303594187298,0.205,0.14,0.112686723258378,-0.245,0.09,-0.02538312907108
S07,1,increasing,none,0.4,0.28,0.125,0.10831422651249,0.19,0.145,0.114184977219329,-0.09,0.02,-0.00587075070683901
S08,0,increasing,none,0.7,0.41,0.045,0.0869567949954375,0.145,0.135,0.11471068326962,-0.265,0.09,-0.0277538882741825
S08,1,increasing,none,0.7,0.235,0.13,0.114176678617437,0.12,0.18,0.123717647254577,-0.115,0.05,-0.00954096863714
S09,0,increasing,none,1,0.385,0.045,0.0825696243276154,0.18,0.135,0.119004891053327,-0.205,0.09,-0.0364352667257116
S09,1,increasing,none,1,0.21,0.105,0.108496915317241,0.105,0.205,0.132177314152291,-0.105,0.1,-0.02368039883505
S10,0,increasing,threshold_jump,0.4,0.33,0.05,0.0942067385484335,0.29,0.085,0.10883708374178,-0.04,0.035,-0.0146303451933465
S10,1,increasing,threshold_jump,0.4,0.175,0.16,0.122904397692793,0.25,0.095,0.10604180239775,0.075,-0.065,0.016862595295043
S11,0,increasing,threshold_jump,0.7,0.33,0.065,0.0918014998513622,0.195,0.11,0.113861042109921,-0.135,0.045,-0.0220595422585588
S11,1,increasing,threshold_jump,0.7,0.145,0.14,0.118861002045753,0.15,0.145,0.112880857698656,0.005,0.00499999999999998,0.00598014434709701
S12,0,increasing,threshold_jump,1,0.32,0.085,0.0957204197330761,0.125,0.275,0.152202818377661,-0.195,0.19,-0.0564823986445849
S12,1,increasing,threshold_jump,1,0.165,0.17,0.123696852050931,0.085,0.365,0.166338201605406,-0.08,0.195,-0.042641349554475
S13,0,late_surge,none,0.4,0.395,0.07,0.0900090113748739,0.14,0.13,0.114257357105365,-0.255,0.06,-0.0242483457304911
S13,1,late_surge,none,0.4,0.24,0.095,0.109809476850756,0.13,0.135,0.115344325411153,-0.11,0.04,-0.005534848560397
S14,0,late_surge,none,0.7,0.43,0.04,0.0892625225656503,0.165,0.15,0.117528956688775,-0.265,0.11,-0.0282664341231247
S14,1,late_surge,none,0.7,0.285,0.095,0.112598834916538,0.14,0.185,0.123379770596888,-0.145,0.09,-0.01078093568035
S15,0,late_surge,none,1,0.41,0.045,0.0778143019533051,0.155,0.135,0.111302172361107,-0.255,0.09,-0.0334878704078019
S15,1,late_surge,none,1,0.24,0.075,0.101691856608775,0.115,0.175,0.118178499157853,-0.125,0.1,-0.016486642549078
S16,0,late_surge,threshold_jump,0.4,0.325,0.075,0.0941262836367979,0.23,0.115,0.106983520487587,-0.095,0.04,-0.0128572368507891
S16,1,late_surge,threshold_jump,0.4,0.18,0.15,0.121271018207532,0.24,0.095,0.106062305010638,0.06,-0.055,0.015208713196894
S17,0,late_surge,threshold_jump,0.7,0.31,0.07,0.0952142264423418,0.175,0.1,0.115771760178674,-0.135,0.03,-0.0205575337363322
S17,1,late_surge,threshold_jump,0.7,0.15,0.15,0.120904137919886,0.185,0.16,0.117868596972595,0.035,0.01,0.003035540947291
S18,0,late_surge,threshold_jump,1,0.34,0.05,0.0947242760090772,0.14,0.135,0.123495077138203,-0.2,0.085,-0.0287708011291258
S18,1,late_surge,threshold_jump,1,0.2,0.13,0.113823911988412,0.12,0.19,0.126717752096001,-0.08,0.06,-0.012893840107589
