truth,scenario_id,axisA,axisB,rho_meas,mis_spec,method_Q,bias,rmse,cover,ci_excl0,sign_error,logrr_median,rd_median
non_null,S01,flat,none,0.4,0,glm,0.0435319285699248,0.0833716704300795,0.9,0.465,0.05,-0.126986639640074,-0.0713587294299604
null,S01,flat,none,0.4,0,glm,-0.00138781414409225,0.0581838814149947,0.955,0.045,,0.00197838328339459,0.00123329698637181
non_null,S01,flat,none,0.4,1,glm,0.0814102969639862,0.103210190310232,0.71,0.31,0.07,-0.0861060735585824,-0.048262143673362
null,S01,flat,none,0.4,1,glm,0.0319530185714121,0.0600266326636182,0.94,0.06,,0.0340242477907896,0.0210498673473415
non_null,S02,flat,none,0.7,0,glm,0.0484944844563874,0.0852530910236691,0.89,0.395,0.05,-0.120090937410353,-0.0685247898458695
null,S02,flat,none,0.7,0,glm,0.00107174060448642,0.0575560526407064,0.965,0.035,,-0.000656501583138582,-0.000390751422050528
non_null,S02,flat,none,0.7,1,glm,0.0851732629708141,0.10596682253826,0.735,0.245,0.065,-0.0819855597928151,-0.0467270176457341
null,S02,flat,none,0.7,1,glm,0.0374549459562856,0.0653944989550644,0.925,0.075,,0.0375600906730131,0.0224786559976187
non_null,S03,flat,none,1,0,glm,0.0523078717290151,0.089560269680917,0.865,0.39,0.045,-0.11403575635933,-0.0645893081621154
null,S03,flat,none,1,0,glm,0.00678126283224626,0.063226426389076,0.94,0.06,,0.0027410333662515,0.00160166793780075
non_null,S03,flat,none,1,1,glm,0.0866864359785156,0.107281480917979,0.685,0.315,0.105,-0.0795412273691203,-0.0469178471172475
null,S03,flat,none,1,1,glm,0.0399152541955531,0.0694608429346551,0.895,0.105,,0.0393895548373486,0.0235114237418191
non_null,S04,flat,threshold_jump,0.4,0,glm,0.0557282825058155,0.0909024552739254,0.875,0.4,0.055,-0.110045034603586,-0.0673918151158621
null,S04,flat,threshold_jump,0.4,0,glm,-0.00113807720610533,0.0650595329693848,0.97,0.03,,-0.0032166206797548,-0.00217027807744286
non_null,S04,flat,threshold_jump,0.4,1,glm,0.0930333413970211,0.1150917174929,0.7,0.25,0.115,-0.078654373909157,-0.0476757204860185
null,S04,flat,threshold_jump,0.4,1,glm,0.0327554648492522,0.0679758531474714,0.92,0.08,,0.0340997902564117,0.0218724928056771
non_null,S05,flat,threshold_jump,0.7,0,glm,0.0662958759157422,0.095417632770037,0.83,0.345,0.065,-0.103091882064186,-0.0618388534004175
null,S05,flat,threshold_jump,0.7,0,glm,9.13201270186156e-05,0.0652196448470501,0.96,0.04,,-0.00261780646784381,-0.00172823623755231
non_null,S05,flat,threshold_jump,0.7,1,glm,0.100291642333497,0.117753031445682,0.63,0.235,0.13,-0.0731980213206418,-0.0447674378590062
null,S05,flat,threshold_jump,0.7,1,glm,0.0367998914946105,0.0705747660617248,0.905,0.095,,0.0352119700367964,0.0225661115236067
non_null,S06,flat,threshold_jump,1,0,glm,0.056239557042751,0.0899255734786635,0.865,0.365,0.06,-0.109349729380768,-0.0664846827892383
null,S06,flat,threshold_jump,1,0,glm,-0.00701143997694692,0.0639050287099315,0.95,0.05,,-0.00620870425881997,-0.0040179123304821
non_null,S06,flat,threshold_jump,1,1,glm,0.0935769640407202,0.114443021495109,0.685,0.215,0.135,-0.0739294109459158,-0.0447751705106292
null,S06,flat,threshold_jump,1,1,glm,0.0300750290289629,0.0667827155588273,0.94,0.06,,0.0330703071387775,0.0210041451694397
non_null,S07,increasing,none,0.4,0,glm,0.0438007844653021,0.086230119640834,0.87,0.48,0.045,-0.131109904652423,-0.0748196498115957
null,S07,increasing,none,0.4,0,glm,0.0027057042855436,0.0662467988794476,0.975,0.025,,0.000985746930533688,0.000583091735394337
non_null,S07,increasing,none,0.4,1,glm,0.0855454724536961,0.108374456541127,0.705,0.305,0.13,-0.0873686514719494,-0.0506547791283956
null,S07,increasing,none,0.4,1,glm,0.0389283128128087,0.0704055982945737,0.905,0.095,,0.0445937786662986,0.0274207600471123
non_null,S08,increasing,none,0.7,0,glm,0.0538158924035361,0.0868887839807082,0.865,0.425,0.05,-0.123944081985684,-0.0690710648863285
null,S08,increasing,none,0.7,0,glm,0.0107264683402252,0.0628801178806479,0.97,0.03,,0.0116453293904239,0.00686918076631232
non_null,S08,increasing,none,0.7,1,glm,0.095759259447375,0.114135555030259,0.675,0.245,0.135,-0.0790349822213471,-0.0454625896430325
