truth,scenario_id,axisA,axisB,rho_meas,mis_spec,bias,rmse,cover,ci_excl0,sign_error,logrr_median,rd_median
non_null,S01,flat,none,0.4,0,0.0418728222422911,0.0827981962077386,0.9,0.45,0.045,-0.127599115755251,-0.0719761559635115
null,S01,flat,none,0.4,0,-0.000934110861107793,0.0586368511713525,0.97,0.03,,0.001563634585852,0.000953621470751842
non_null,S01,flat,none,0.4,1,0.0806024312327797,0.102603772842941,0.72,0.315,0.065,-0.0877992050085701,-0.0504498868782562
null,S01,flat,none,0.4,1,0.0323025513495221,0.060730651159288,0.925,0.075,,0.0356562935086675,0.0217467205101322
non_null,S02,flat,none,0.7,0,0.0489077624966938,0.0855285130401781,0.87,0.38,0.04,-0.118492943856692,-0.0686122276451503
null,S02,flat,none,0.7,0,0.000886547246865581,0.0582082688847009,0.96,0.04,,-0.00162235264182601,-0.000963842616985566
non_null,S02,flat,none,0.7,1,0.0856182089477925,0.106586671106414,0.75,0.235,0.07,-0.0813084821860986,-0.0455796672157133
null,S02,flat,none,0.7,1,0.0375507403679999,0.0655079845124218,0.915,0.085,,0.0381923081863011,0.0225857625267143
non_null,S03,flat,none,1,0,0.0508886014875374,0.0887750648398215,0.88,0.405,0.045,-0.117363353260073,-0.0677153374037429
null,S03,flat,none,1,0,0.00691213771140714,0.0640337765316687,0.945,0.055,,0.00524170016751921,0.00321336054938182
non_null,S03,flat,none,1,1,0.0861755821658901,0.107055932894911,0.7,0.315,0.09,-0.0811794354214479,-0.0464505119897526
null,S03,flat,none,1,1,0.0400265234726783,0.0696842285946982,0.9,0.1,,0.0405777068368837,0.0244409527342868
non_null,S04,flat,threshold_jump,0.4,0,0.05654965216745,0.0912109299946608,0.875,0.375,0.065,-0.108644568889772,-0.0673488994682954
null,S04,flat,threshold_jump,0.4,0,-0.000891327431864668,0.0653861886051832,0.97,0.03,,-0.000615306227688489,-0.000398003647045675
non_null,S04,flat,threshold_jump,0.4,1,0.0921839741776628,0.114279380772502,0.705,0.23,0.11,-0.0806160848942143,-0.0479958613924555
null,S04,flat,threshold_jump,0.4,1,0.03201758655757,0.0674623807821478,0.925,0.075,,0.0339385986745188,0.0214671291668317
non_null,S05,flat,threshold_jump,0.7,0,0.066330675075312,0.0947221099552605,0.83,0.33,0.065,-0.103952183247067,-0.0620393012673822
null,S05,flat,threshold_jump,0.7,0,0.000510613531159817,0.0659455265850086,0.96,0.04,,0.000609360800905649,0.000398281549386481
non_null,S05,flat,threshold_jump,0.7,1,0.0999194391819797,0.117640077220468,0.63,0.23,0.145,-0.0732348325166749,-0.0438194291197995
null,S05,flat,threshold_jump,0.7,1,0.0358813924562431,0.0698113854248175,0.915,0.085,,0.0331950625193541,0.0214756123779604
non_null,S06,flat,threshold_jump,1,0,0.0567294406372449,0.0922220429422625,0.87,0.355,0.07,-0.114545811180959,-0.0696349679281824
null,S06,flat,threshold_jump,1,0,-0.00636868999647789,0.0640890090391747,0.95,0.05,,-0.0053763767894575,-0.00350194384878966
non_null,S06,flat,threshold_jump,1,1,0.0929690443676099,0.114197467059321,0.69,0.215,0.12,-0.0741770782713635,-0.0455351458521098
null,S06,flat,threshold_jump,1,1,0.028741449801394,0.0664133185119806,0.94,0.06,,0.0313472586181537,0.0201845690261281
non_null,S07,increasing,none,0.4,0,0.0435252303906108,0.087303594187298,0.875,0.45,0.05,-0.12861600245622,-0.0733621135621112
null,S07,increasing,none,0.4,0,0.00249090224241535,0.0661477458063266,0.975,0.025,,0.000237468287385696,0.000143068165480265
non_null,S07,increasing,none,0.4,1,0.0852120805864266,0.10831422651249,0.72,0.28,0.125,-0.0882855223625345,-0.0516412488982963
null,S07,increasing,none,0.4,1,0.0391293318280833,0.070832301850979,0.9,0.1,,0.0446584939937131,0.0271742308716777
non_null,S08,increasing,none,0.7,0,0.0540826531444324,0.0869567949954375,0.88,0.41,0.045,-0.122819772189554,-0.0699635669006066
null,S08,increasing,none,0.7,0,0.00995160706653091,0.065013481045555,0.97,0.03,,0.016174511345164,0.00961355242398421
