truth,scenario_id,axisA,axisB,rho_meas,mis_spec,bias,rmse,cover,ci_excl0,sign_error,logrr_median,rd_median,dev_model_status,pct_glm_timeupdated,min_c_hat_median
non_null,S01,flat,none,0.4,0,0.0702151774072438,0.109915097638983,0.905,0.19,0.095,-0.0988340873863753,-0.0403185741396277,glm_timeupdated_richer,1,0.219040509068416
null,S01,flat,none,0.4,0,0.0635451812558167,0.0948227680193231,0.935,0.065,,0.0660359362794745,0.0287469370307448,glm_timeupdated_richer,1,0.218824512673526
non_null,S01,flat,none,0.4,1,0.0701891609772857,0.109535041756075,0.91,0.18,0.09,-0.0993967122407106,-0.039389472818343,glm_timeupdated_reduced,1,0.245665008527415
null,S01,flat,none,0.4,1,0.0640908329212497,0.0949059577010672,0.935,0.065,,0.0663256219503478,0.0275974147588797,glm_timeupdated_reduced,1,0.242756206811968
non_null,S02,flat,none,0.7,0,0.0694471599485649,0.113121041891929,0.88,0.185,0.105,-0.0919477492017027,-0.0371221609691024,glm_timeupdated_richer,1,0.2155602583909
null,S02,flat,none,0.7,0,0.0700564429372871,0.103410028762657,0.895,0.105,,0.0707998914019086,0.0299595244886036,glm_timeupdated_richer,1,0.218615884205343
non_null,S02,flat,none,0.7,1,0.0687913414477122,0.112635437556791,0.885,0.18,0.11,-0.0911507597021746,-0.0366720932194801,glm_timeupdated_reduced,1,0.242421252748447
null,S02,flat,none,0.7,1,0.0695293231054712,0.102505671452453,0.895,0.105,,0.0681259236184267,0.0297281128032792,glm_timeupdated_reduced,1,0.245337236896396
non_null,S03,flat,none,1,0,0.0772672320223388,0.116370269911449,0.88,0.205,0.14,-0.085988747680953,-0.035393317436186,glm_timeupdated_richer,1,0.21426931501125
null,S03,flat,none,1,0,0.0714134457387174,0.105743277549289,0.905,0.095,,0.0673844593163804,0.0289875784330056,glm_timeupdated_richer,1,0.21297049090701
non_null,S03,flat,none,1,1,0.0768072000716962,0.11584795909405,0.87,0.195,0.14,-0.0868846072139123,-0.0356390318760844,glm_timeupdated_reduced,1,0.241797152331059
null,S03,flat,none,1,1,0.0720788968370179,0.105557955701204,0.9,0.1,,0.0723552703584206,0.0312225459507415,glm_timeupdated_reduced,1,0.241222735251915
non_null,S04,flat,threshold_jump,0.4,0,0.0328491584012562,0.110495515997538,0.92,0.255,0.095,-0.140952796588229,-0.0542343607225832,glm_timeupdated_richer,1,0.0928764950179759
null,S04,flat,threshold_jump,0.4,0,0.0304121425920255,0.0990984423073033,0.955,0.045,,0.028813887119339,0.0126930155506059,glm_timeupdated_richer,1,0.0926352166231322
non_null,S04,flat,threshold_jump,0.4,1,0.0334778421024621,0.1103551294669,0.92,0.265,0.095,-0.137189315496068,-0.0535557620010453,glm_timeupdated_reduced,1,0.126549458599007
null,S04,flat,threshold_jump,0.4,1,0.0272279820101498,0.0964498871154973,0.955,0.045,,0.029461960755607,0.0132568193388299,glm_timeupdated_reduced,1,0.127997875506454
non_null,S05,flat,threshold_jump,0.7,0,0.0593160191166786,0.113871578107482,0.93,0.195,0.125,-0.101295507859228,-0.0401347770709097,glm_timeupdated_richer,1,0.0921466584863903
null,S05,flat,threshold_jump,0.7,0,0.0493127827880325,0.102479591563191,0.935,0.065,,0.0486085741613861,0.0215219991806132,glm_timeupdated_richer,1,0.0994402715230542
non_null,S05,flat,threshold_jump,0.7,1,0.0571366075136538,0.110950071521095,0.94,0.195,0.125,-0.109448466760113,-0.0439275098492709,glm_timeupdated_reduced,1,0.117684466710488
null,S05,flat,threshold_jump,0.7,1,0.0469785155477421,0.101301903812676,0.935,0.065,,0.0443480526801225,0.0192979155602473,glm_timeupdated_reduced,1,0.120881962649611
non_null,S06,flat,threshold_jump,1,0,0.0723152735481866,0.122320309861199,0.91,0.18,0.15,-0.0859624591950425,-0.0354655253556284,glm_timeupdated_richer,1,0.0755878480365584
null,S06,flat,threshold_jump,1,0,0.0575505647112932,0.107702692254436,0.935,0.065,,0.0645358691138844,0.0284950801656576,glm_timeupdated_richer,1,0.0781343762294352
non_null,S06,flat,threshold_jump,1,1,0.0641835069431747,0.117599275601519,0.92,0.2,0.14,-0.0996150303162341,-0.0403048929094638,glm_timeupdated_reduced,1,0.0853171384375295
null,S06,flat,threshold_jump,1,1,0.0499627663358013,0.105007477330761,0.95,0.05,,0.0576226472215865,0.0245463406253029,glm_timeupdated_reduced,1,0.0864116013573686
non_null,S07,increasing,none,0.4,0,0.0644405257633159,0.112686723258378,0.905,0.205,0.14,-0.101013455820184,-0.0398207572069644,glm_timeupdated_richer,1,0.165990442645197
null,S07,increasing,none,0.4,0,0.0674396121229116,0.105430659692053,0.895,0.105,,0.0729294843213605,0.031282131225855,glm_timeupdated_richer,1,0.166962866450166
non_null,S07,increasing,none,0.4,1,0.0680513196628371,0.114184977219329,0.885,0.19,0.145,-0.0970305377460997,-0.0373621902692844,glm_timeupdated_reduced,1,0.200182794620187
null,S07,increasing,none,0.4,1,0.0702407751996412,0.10760218357396,0.89,0.11,,0.0772530207043876,0.0320947299782863,glm_timeupdated_reduced,1,0.204629703405546
non_null,S08,increasing,none,0.7,0,0.0765787128462175,0.11471068326962,0.9,0.145,0.135,-0.0944844093573535,-0.0378953041665009,glm_timeupdated_richer,1,0.11565733017099
null,S08,increasing,none,0.7,0,0.0771445649814468,0.115011642636564,0.89,0.11,,0.0828303941748734,0.0358728987406385,glm_timeupdated_richer,1,0.11813153266548
non_null,S08,increasing,none,0.7,1,0.091054900056005,0.123717647254577,0.865,0.12,0.18,-0.0818213774064618,-0.0320406183664479,glm_timeupdated_reduced,1,0.171153217100437
null,S08,increasing,none,0.7,1,0.0902775282373887,0.123544729356734,0.825,0.175,,0.101104884010972,0.0433558066384557,glm_timeupdated_reduced,1,0.174728366170078
non_null,S09,increasing,none,1,0,0.0705472931255242,0.119004891053327,0.895,0.18,0.135,-0.105380117995708,-0.0431419037919142,glm_timeupdated_richer,1,0.05
null,S09,increasing,none,1,0,0.0668509561440775,0.112090549080467,0.905,0.095,,0.0658059744087915,0.0282470678023969,glm_timeupdated_richer,1,0.05
non_null,S09,increasing,none,1,1,0.0996153910495051,0.132177314152291,0.815,0.105,0.205,-0.0855296500139412,-0.033317761293934,glm_timeupdated_reduced,1,0.117002390006482
null,S09,increasing,none,1,1,0.0949285910109981,0.127366332121081,0.82,0.18,,0.0879087729965131,0.0381206051873849,glm_timeupdated_reduced,1,0.119091965534724
non_null,S10,increasing,threshold_jump,0.4,0,0.0213581033153309,0.10883708374178,0.955,0.29,0.085,-0.148922664266126,-0.0560882587842634,glm_timeupdated_richer,1,0.0558257601342656
null,S10,increasing,threshold_jump,0.4,0,0.0299625994308409,0.107734464475705,0.93,0.07,,0.0332407230426267,0.0139465925992794,glm_timeupdated_richer,1,0.0611935799506821
